device_id,sensor_id,reading_timestamp,reading_value,battery_level,signal_strength
1,1,2026-04-14 21:16:51.765854,52.15,73.1,76.11
1,2,2026-04-14 21:16:51.765854,47.48,73.1,76.11
1,3,2026-04-14 21:16:51.765854,2.16,73.1,76.11
1,4,2026-04-14 21:16:51.765854,56.96,73.1,76.11
1,1,2026-04-14 22:16:51.765854,88.15,76.72,74.83
1,2,2026-04-14 22:16:51.765854,40.54,76.72,74.83
1,3,2026-04-14 22:16:51.765854,0.46,76.72,74.83
1,4,2026-04-14 22:16:51.765854,74.32,76.72,74.83
1,1,2026-04-14 23:16:51.765854,20.56,66.32,84.85
1,2,2026-04-14 23:16:51.765854,68.49,66.32,84.85
1,3,2026-04-14 23:16:51.765854,2.47,66.32,84.85
1,4,2026-04-14 23:16:51.765854,37.46,66.32,84.85
1,1,2026-04-15 00:16:51.765854,21.65,96.57,82.93
1,2,2026-04-15 00:16:51.765854,66.18,96.57,82.93
1,3,2026-04-15 00:16:51.765854,2.88,96.57,82.93
1,4,2026-04-15 00:16:51.765854,114.8,96.57,82.93
1,1,2026-04-15 01:16:51.765854,75.25,87.55,82.8
1,2,2026-04-15 01:16:51.765854,34.9,87.55,82.8
1,3,2026-04-15 01:16:51.765854,0.31,87.55,82.8
1,4,2026-04-15 01:16:51.765854,81.77,87.55,82.8
1,1,2026-04-15 02:16:51.765854,25.91,75.53,97.37
1,2,2026-04-15 02:16:51.765854,54.79,75.53,97.37
1,3,2026-04-15 02:16:51.765854,2.57,75.53,97.37
1,4,2026-04-15 02:16:51.765854,75.04,75.53,97.37
1,1,2026-04-15 03:16:51.765854,62.72,68.02,71.58
1,2,2026-04-15 03:16:51.765854,31.25,68.02,71.58
1,3,2026-04-15 03:16:51.765854,0.19,68.02,71.58
1,4,2026-04-15 03:16:51.765854,109.37,68.02,71.58
1,1,2026-04-15 04:16:51.765854,45.45,69.43,77.26
1,2,2026-04-15 04:16:51.765854,49.96,69.43,77.26
1,3,2026-04-15 04:16:51.765854,4.35,69.43,77.26
1,4,2026-04-15 04:16:51.765854,46.2,69.43,77.26
1,1,2026-04-15 05:16:51.765854,56.3,84.11,87.09
1,2,2026-04-15 05:16:51.765854,56.71,84.11,87.09
1,3,2026-04-15 05:16:51.765854,2.58,84.11,87.09
1,4,2026-04-15 05:16:51.765854,108.16,84.11,87.09
1,1,2026-04-15 06:16:51.765854,58.09,81.87,97.39
1,2,2026-04-15 06:16:51.765854,53.5,81.87,97.39
1,3,2026-04-15 06:16:51.765854,4.42,81.87,97.39
1,4,2026-04-15 06:16:51.765854,98.82,81.87,97.39
1,1,2026-04-15 07:16:51.765854,55.95,67.58,76.78
1,2,2026-04-15 07:16:51.765854,64.07,67.58,76.78
1,3,2026-04-15 07:16:51.765854,3.7,67.58,76.78
1,4,2026-04-15 07:16:51.765854,101.18,67.58,76.78
1,1,2026-04-15 08:16:51.765854,11.58,69.56,98.24
1,2,2026-04-15 08:16:51.765854,63.36,69.56,98.24
1,3,2026-04-15 08:16:51.765854,-11.24,69.56,98.24
1,4,2026-04-15 08:16:51.765854,112.22,69.56,98.24
1,1,2026-04-15 09:16:51.765854,22.68,60.64,75.1
1,2,2026-04-15 09:16:51.765854,54.15,60.64,75.1
1,3,2026-04-15 09:16:51.765854,3.19,60.64,75.1
1,4,2026-04-15 09:16:51.765854,76.4,60.64,75.1
1,1,2026-04-15 10:16:51.765854,55.7,79.27,98.8
1,2,2026-04-15 10:16:51.765854,66.6,79.27,98.8
1,3,2026-04-15 10:16:51.765854,3.16,79.27,98.8
1,4,2026-04-15 10:16:51.765854,35.12,79.27,98.8
1,1,2026-04-15 11:16:51.765854,45.68,64.21,74.05
1,2,2026-04-15 11:16:51.765854,47.74,64.21,74.05
1,3,2026-04-15 11:16:51.765854,3.84,64.21,74.05
1,4,2026-04-15 11:16:51.765854,88.22,64.21,74.05
1,1,2026-04-15 12:16:51.765854,72.52,80.01,99.2
1,2,2026-04-15 12:16:51.765854,50.05,80.01,99.2
1,3,2026-04-15 12:16:51.765854,1.38,80.01,99.2
1,4,2026-04-15 12:16:51.765854,112.17,80.01,99.2
1,1,2026-04-15 13:16:51.765854,54.89,84.87,97.03
1,2,2026-04-15 13:16:51.765854,65.86,84.87,97.03
1,3,2026-04-15 13:16:51.765854,2.67,84.87,97.03
1,4,2026-04-15 13:16:51.765854,59.18,84.87,97.03
1,1,2026-04-15 14:16:51.765854,51.98,68.06,93.19
1,2,2026-04-15 14:16:51.765854,34.68,68.06,93.19
1,3,2026-04-15 14:16:51.765854,4.15,68.06,93.19
1,4,2026-04-15 14:16:51.765854,110.56,68.06,93.19
1,1,2026-04-15 15:16:51.765854,64.23,73.08,79.0
1,2,2026-04-15 15:16:51.765854,63.06,73.08,79.0
1,3,2026-04-15 15:16:51.765854,2.55,73.08,79.0
1,4,2026-04-15 15:16:51.765854,71.57,73.08,79.0
1,1,2026-04-15 16:16:51.765854,85.06,92.82,87.95
1,2,2026-04-15 16:16:51.765854,17.86,92.82,87.95
1,3,2026-04-15 16:16:51.765854,2.42,92.82,87.95
1,4,2026-04-15 16:16:51.765854,48.43,92.82,87.95
1,1,2026-04-15 17:16:51.765854,40.56,93.16,73.12
1,2,2026-04-15 17:16:51.765854,67.58,93.16,73.12
1,3,2026-04-15 17:16:51.765854,0.83,93.16,73.12
1,4,2026-04-15 17:16:51.765854,62.67,93.16,73.12
1,1,2026-04-15 18:16:51.765854,64.87,79.29,97.91
1,2,2026-04-15 18:16:51.765854,62.16,79.29,97.91
1,3,2026-04-15 18:16:51.765854,4.39,79.29,97.91
1,4,2026-04-15 18:16:51.765854,76.78,79.29,97.91
1,1,2026-04-15 19:16:51.765854,92.01,97.34,77.92
1,2,2026-04-15 19:16:51.765854,62.49,97.34,77.92
1,3,2026-04-15 19:16:51.765854,3.17,97.34,77.92
1,4,2026-04-15 19:16:51.765854,51.1,97.34,77.92
1,1,2026-04-15 20:16:51.765854,60.27,90.12,76.06
1,2,2026-04-15 20:16:51.765854,54.46,90.12,76.06
1,3,2026-04-15 20:16:51.765854,3.42,90.12,76.06
1,4,2026-04-15 20:16:51.765854,33.6,90.12,76.06
